NO_OF_FRAMES	7383
NO_OF_CAMERAS	14
NO_OF_MARKERS	0
FREQUENCY	25
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-06-23, 17:21:07.537	536387.02876640
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
1	0.00000	
2	0.04000	
3	0.08000	
4	0.12000	
5	0.16000	
6	0.20000	
7	0.24000	
8	0.28000	
9	0.32000	
10	0.36000	
11	0.40000	
12	0.44000	
13	0.48000	
14	0.52000	
15	0.56000	
16	0.60000	
17	0.64000	
18	0.68000	
19	0.72000	
20	0.76000	
21	0.80000	
22	0.84000	
23	0.88000	
24	0.92000	
25	0.96000	
26	1.00000	
27	1.04000	
28	1.08000	
29	1.12000	
30	1.16000	
31	1.20000	
32	1.24000	
33	1.28000	
34	1.32000	
35	1.36000	
36	1.40000	
37	1.44000	
38	1.48000	
39	1.52000	
40	1.56000	
41	1.60000	
42	1.64000	
43	1.68000	
44	1.72000	
45	1.76000	
46	1.80000	
47	1.84000	
48	1.88000	
49	1.92000	
50	1.96000	
51	2.00000	
52	2.04000	
53	2.08000	
54	2.12000	
55	2.16000	
56	2.20000	
57	2.24000	
58	2.28000	
59	2.32000	
60	2.36000	
61	2.40000	
62	2.44000	
63	2.48000	
64	2.52000	
65	2.56000	
66	2.60000	
67	2.64000	
68	2.68000	
69	2.72000	
70	2.76000	
71	2.80000	
72	2.84000	
73	2.88000	
74	2.92000	
75	2.96000	
76	3.00000	
77	3.04000	
78	3.08000	
79	3.12000	
80	3.16000	
81	3.20000	
82	3.24000	
83	3.28000	
84	3.32000	
85	3.36000	
86	3.40000	
87	3.44000	
88	3.48000	
89	3.52000	
90	3.56000	
91	3.60000	
92	3.64000	
93	3.68000	
94	3.72000	
95	3.76000	
96	3.80000	
97	3.84000	
98	3.88000	
99	3.92000	
100	3.96000	
101	4.00000	
102	4.04000	
103	4.08000	
104	4.12000	
105	4.16000	
106	4.20000	
107	4.24000	
108	4.28000	
109	4.32000	
110	4.36000	
111	4.40000	
112	4.44000	
113	4.48000	
114	4.52000	
115	4.56000	
116	4.60000	
117	4.64000	
118	4.68000	
119	4.72000	
120	4.76000	
121	4.80000	
122	4.84000	
123	4.88000	
124	4.92000	
125	4.96000	
126	5.00000	
127	5.04000	
128	5.08000	
129	5.12000	
130	5.16000	
131	5.20000	
132	5.24000	
133	5.28000	
134	5.32000	
135	5.36000	
136	5.40000	
137	5.44000	
138	5.48000	
139	5.52000	
140	5.56000	
141	5.60000	
142	5.64000	
143	5.68000	
144	5.72000	
145	5.76000	
146	5.80000	
147	5.84000	
148	5.88000	
149	5.92000	
150	5.96000	
151	6.00000	
152	6.04000	
153	6.08000	
154	6.12000	
155	6.16000	
156	6.20000	
157	6.24000	
158	6.28000	
159	6.32000	
160	6.36000	
161	6.40000	
162	6.44000	
163	6.48000	
164	6.52000	
165	6.56000	
166	6.60000	
167	6.64000	
168	6.68000	
169	6.72000	
170	6.76000	
171	6.80000	
172	6.84000	
173	6.88000	
174	6.92000	
175	6.96000	
176	7.00000	
177	7.04000	
178	7.08000	
179	7.12000	
180	7.16000	
181	7.20000	
182	7.24000	
183	7.28000	
184	7.32000	
185	7.36000	
186	7.40000	
187	7.44000	
188	7.48000	
189	7.52000	
190	7.56000	
191	7.60000	
192	7.64000	
193	7.68000	
194	7.72000	
195	7.76000	
196	7.80000	
197	7.84000	
198	7.88000	
199	7.92000	
200	7.96000	
201	8.00000	
202	8.04000	
203	8.08000	
204	8.12000	
205	8.16000	
206	8.20000	
207	8.24000	
208	8.28000	
209	8.32000	
210	8.36000	
211	8.40000	
212	8.44000	
213	8.48000	
214	8.52000	
215	8.56000	
216	8.60000	
217	8.64000	
218	8.68000	
219	8.72000	
220	8.76000	
221	8.80000	
222	8.84000	
223	8.88000	
224	8.92000	
225	8.96000	
226	9.00000	
227	9.04000	
228	9.08000	
229	9.12000	
230	9.16000	
231	9.20000	
232	9.24000	
233	9.28000	
234	9.32000	
235	9.36000	
236	9.40000	
237	9.44000	
238	9.48000	
239	9.52000	
240	9.56000	
241	9.60000	
242	9.64000	
243	9.68000	
244	9.72000	
245	9.76000	
246	9.80000	
247	9.84000	
248	9.88000	
249	9.92000	
250	9.96000	
251	10.00000	
252	10.04000	
253	10.08000	
254	10.12000	
255	10.16000	
256	10.20000	
257	10.24000	
258	10.28000	
259	10.32000	
260	10.36000	
261	10.40000	
262	10.44000	
263	10.48000	
264	10.52000	
265	10.56000	
266	10.60000	
267	10.64000	
268	10.68000	
269	10.72000	
270	10.76000	
271	10.80000	
272	10.84000	
273	10.88000	
274	10.92000	
275	10.96000	
276	11.00000	
277	11.04000	
278	11.08000	
279	11.12000	
280	11.16000	
281	11.20000	
282	11.24000	
283	11.28000	
284	11.32000	
285	11.36000	
286	11.40000	
287	11.44000	
288	11.48000	
289	11.52000	
290	11.56000	
291	11.60000	
292	11.64000	
293	11.68000	
294	11.72000	
295	11.76000	
296	11.80000	
297	11.84000	
298	11.88000	
299	11.92000	
300	11.96000	
301	12.00000	
302	12.04000	
303	12.08000	
304	12.12000	
305	12.16000	
306	12.20000	
307	12.24000	
308	12.28000	
309	12.32000	
310	12.36000	
311	12.40000	
312	12.44000	
313	12.48000	
314	12.52000	
315	12.56000	
316	12.60000	
317	12.64000	
318	12.68000	
319	12.72000	
320	12.76000	
321	12.80000	
322	12.84000	
323	12.88000	
324	12.92000	
325	12.96000	
326	13.00000	
327	13.04000	
328	13.08000	
329	13.12000	
330	13.16000	
331	13.20000	
332	13.24000	
333	13.28000	
334	13.32000	
335	13.36000	
336	13.40000	
337	13.44000	
338	13.48000	
339	13.52000	
340	13.56000	
341	13.60000	
342	13.64000	
343	13.68000	
344	13.72000	
345	13.76000	
346	13.80000	
347	13.84000	
348	13.88000	
349	13.92000	
350	13.96000	
351	14.00000	
352	14.04000	
353	14.08000	
354	14.12000	
355	14.16000	
356	14.20000	
357	14.24000	
358	14.28000	
359	14.32000	
360	14.36000	
361	14.40000	
362	14.44000	
363	14.48000	
364	14.52000	
365	14.56000	
