model,trial,rows,rmse_mm,mae_mm,mean_joint_error_mm,p95_mean_joint_error_mm
Ridge,rw_005,6763,1241.7930147655184,903.5833021519076,2027.869912746694,3082.5172638858303
Ridge,sit_008,7075,1004.2416483264183,741.8994706972885,1606.9975736055478,2581.3465274759155
TCN_2s,rw_005,6713,295.8046120176705,160.1119878097773,366.67266182208226,1120.5566543613952
TCN_2s,sit_008,7025,344.8701872674554,205.770944745895,467.8561629064955,1186.42643888745
TCN_4s,rw_005,6663,290.076787870635,157.69242476309074,361.1734476437451,1090.8533206771715
TCN_4s,sit_008,6975,343.38271263405005,206.0513189219317,466.70611291337667,1231.347421076452
ConvTransformer_2s,rw_005,6713,308.04835599345773,162.73680226398636,373.55198865230625,1182.4250176426035
ConvTransformer_2s,sit_008,7025,343.61805024373734,210.0672606262771,479.3537022724121,1186.3846529454977
Ensemble_TCN2_TCN4_Conv2,rw_005,6663,280.49482149481776,148.1858677548652,338.93575925083985,1081.3844446934004
Ensemble_TCN2_TCN4_Conv2,sit_008,6975,320.03508243258096,193.10240041205307,438.1979804281234,1119.0752802313045
