rank,name,type,context_sec,seq_len,members,train_trials,test_trials,test_rows,rmse_mm,mae_mm,mean_joint_error_mm,p95_mean_joint_error_mm,r2_global,dir
1,Weighted_TCN2_TCN4_Conv2_Bone,prediction_average_ensemble,,,tcn2+tcn4+conv2+bone,,,13638,300.4874699995067,170.57738967918613,388.18463658426606,1112.0798038433943,0.9299894667106139,PIR_gpu_mixed/model_output/physics_ensemble_weighted_tcn2_tcn4_conv2_bone
2,Ensemble_TCN2_TCN4_Conv2,prediction_average_ensemble,,,tcn2+tcn4+conv2,,,13638,301.3660745527403,171.15791756290042,389.70229339878705,1110.3776680849278,0.9295794562625057,PIR_gpu_mixed/model_output/ensemble_tcn2_tcn4_conv2
3,TCN_4s,tcn,4.0,101,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13638,318.4562072753906,182.42501831054688,415.1469421386719,1178.1888427734375,0.9213660520965765,PIR_gpu_mixed/model_output/sequence_tcn4s_gpu
4,TCN_2s,tcn,2.0,51,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13738,321.8304748535156,183.45994567871094,418.41339111328125,1164.212158203125,0.9198144670002907,PIR_gpu_mixed/model_output/sequence_tcn2s_gpu
5,ConvTransformer_2s,convtransformer,2.0,51,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13738,326.7212829589844,186.93948364257812,427.65423583984375,1184.8443603515625,0.917358823628887,PIR_gpu_mixed/model_output/sequence_convtransformer2s_gpu
6,RawBoneTCN_4s,raw_bone_tcn,4.0,101,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13638,331.7013244628906,190.89125061035156,434.3240661621094,1222.6781005859375,0.9146889912682112,PIR_gpu_mixed/model_output/physics_raw_bone_tcn4s
7,RootLocalTCN_4s,rootlocal_tcn,4.0,101,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13638,338.2266540527344,189.81198120117188,433.2247314453125,1249.908447265625,0.9112994493205685,PIR_gpu_mixed/model_output/physics_rootlocal_tcn4s
8,HybridStructTCN_4s,hybrid_struct_tcn,4.0,101,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13638,351.17596435546875,206.7768096923828,476.5108947753906,1248.051513671875,0.9043774710320185,PIR_gpu_mixed/model_output/physics_hybrid_struct_tcn4s
9,StructTCN_4s,struct_tcn,4.0,101,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13638,352.34417724609375,198.44947814941406,456.5538330078125,1301.004638671875,0.9037402149861181,PIR_gpu_mixed/model_output/physics_struct_tcn4s
10,Ridge,ridge_regression,,,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13838,1126.6147227556744,820.9186752159342,1812.6891207654207,2865.1956246037525,0.014567380021284548,PIR_gpu_mixed/model_output/baseline_ridge
