rank,name,type,context_sec,seq_len,members,train_trials,test_trials,test_rows,rmse_mm,mae_mm,mean_joint_error_mm,p95_mean_joint_error_mm,r2_global,dir
1,Weighted_TCN2_GRU2_MLP2_Conv2,prediction_average_ensemble,,,tcn2s+gru2s+mlp2s+convtransformer2s,,,7025,331.8202371177943,200.5774400243315,457.1708646209004,1113.8617458179206,0.8929726870041585,PIR_gpu_sitting/model_output/ensemble_weighted_tcn2_gru2_mlp2_conv2
2,Weighted_TCN2_GRU2,prediction_average_ensemble,,,tcn2s+gru2s,,,7025,335.2137058681389,200.4087510146819,456.92384774468854,1135.3320481573346,0.8907723932193439,PIR_gpu_sitting/model_output/ensemble_weighted_tcn2_gru2
3,Ensemble_TCN2_GRU2_MLP2_Conv2,prediction_average_ensemble,,,tcn2s+gru2s+mlp2s+convtransformer2s,,,7025,337.3145099263951,208.60030053508208,474.38074196186295,1139.0618566989008,0.8893990314896989,PIR_gpu_sitting/model_output/ensemble_tcn2_gru2_mlp2_conv2
4,Ensemble_TCN2_GRU2_Conv2,prediction_average_ensemble,,,tcn2s+gru2s+convtransformer2s,,,7025,338.6009842633634,207.4767899914749,472.6111072267604,1129.5211427614558,0.8885537868743218,PIR_gpu_sitting/model_output/ensemble_tcn2_gru2_conv2
5,TCN_2s,tcn,2.0,51,,003+004+005+006+007,008,7025,340.0218200683594,202.43629455566406,462.0928955078125,1146.4302978515625,0.8876165317157734,PIR_gpu_sitting/model_output/sequence_tcn2s_gpu
6,Ensemble_TCN2_TCN4_GRU2,prediction_average_ensemble,,,tcn2s+tcn4s+gru2s,,,6975,343.71196540438234,206.4423714501926,472.0954300905056,1116.994815093663,0.8851250805961707,PIR_gpu_sitting/model_output/ensemble_tcn2_tcn4_gru2
7,MLP_2s,mlp,2.0,51,,003+004+005+006+007,008,7025,369.2902526855469,236.5698699951172,533.1884155273438,1201.56640625,0.8674363114007606,PIR_gpu_sitting/model_output/sequence_mlp2s_gpu
8,ConvTransformer_2s,convtransformer,2.0,51,,003+004+005+006+007,008,7025,370.15350341796875,233.67776489257812,531.9276733398438,1226.3388671875,0.8668158337325873,PIR_gpu_sitting/model_output/sequence_convtransformer2s_gpu
9,GRU_2s,gru,2.0,51,,003+004+005+006+007,008,7025,373.0928649902344,230.8342742919922,526.3375854492188,1261.587890625,0.8646922175423619,PIR_gpu_sitting/model_output/sequence_gru2s_gpu
10,Transformer_2s,transformer,2.0,51,,003+004+005+006+007,008,7025,375.83917236328125,241.11697387695312,544.3690185546875,1231.4473876953125,0.8626929116596188,PIR_gpu_sitting/model_output/sequence_transformer2s_gpu
11,GRU_6s,gru,6.0,151,,003+004+005+006+007,008,6925,382.2781982421875,220.66619873046875,508.3174133300781,1222.8388671875,0.8572327066595655,PIR_gpu_sitting/model_output/sequence_gru6s_gpu
12,TCN_4s,tcn,4.0,101,,003+004+005+006+007,008,6975,401.2726135253906,240.30136108398438,551.206787109375,1264.6767578125,0.8434276789994792,PIR_gpu_sitting/model_output/sequence_tcn4s_gpu
13,TCN_6s,tcn,6.0,151,,003+004+005+006+007,008,6925,409.09124755859375,240.89093017578125,553.679443359375,1294.97119140625,0.8365028933916577,PIR_gpu_sitting/model_output/sequence_tcn6s_gpu
14,Ridge,ridge_regression,,,,003+004+005+006+007,008,7075,996.1202005395239,735.1443645759739,1591.4805514192094,2584.141699841245,0.03006048548240814,PIR_gpu_sitting/model_output/baseline_ridge
